count,software,version
1,groundpolis-milkey,2022.07.03-milkey-2
1,gotosocial,v0.5.2
1,gotosocial,git-5c8e55c
1,gotosocial,0.5.1-SNAPSHOT git-ee6a0a1
1,gotosocial,0.5.1-SNAPSHOT git-c534230
1,gotosocial,0.5.1-SNAPSHOT git-be011b1
1,gotosocial,0.5.1-SNAPSHOT git-81c1fe0
1,glitchcafe,4.0.2+cafe.7972854
1,gitea,1.19.0+dev-93-g33922932e
1,gitea,1.19.0+dev-140-g439f6754a
1,gitea,1.18.0+rc1
1,gitea,1.18.0+dev-518-gcbc2a970b
1,gancio,1.6.0-rc1
1,funkwhale,1.2.9+git.ed72bfc8
1,funkwhale,1.2.9+git.abe67de1
1,funkwhale,1.2.9+git.9ac56855
1,funkwhale,1.2.9+git.54b3817f
1,funkwhale,1.2.8+git.bbb0e671
1,funkwhale,1.2.7+git.6328d000
1,funkwhale,1.2.6
1,funkwhale,1.2.5+git.a0479e50
1,funkwhale,1.2.2
1,funkwhale,1.2.1
1,funkwhale,1.1.4+git.3c8c1524
1,funkwhale,1.1.1
1,funkwhale,1.1
1,funkwhale,1.0.1
1,funkwhale,0.21.1+git.f14858c2
1,funkwhale,0.21
1,friendica,3.6-1256
1,friendica,2022.12-dev-1487
1,friendica,2022.09-rc-1482
1,friendica,2022.05-dev-1452
1,friendica,2021.12-rc-1449
1,friendica,2021.12-dev-1445
